avganncount,avgdeathsperyear
1397.0,469
173.0,70
102.0,50
427.0,202
57.0,26
428.0,152
250.0,97
146.0,71
88.0,36
4025.0,1380
113.0,36
740.0,269
55.0,26
3438.0,1118
2265.0,901
251.0,106
1390.0,483
32.0,12
305.0,120
1081.0,367
134.0,50
958.0,403
94.0,41
499.0,215
152.0,70
80.0,40
164.0,69
564.0,237
50.0,25
70.0,26
25.0,19
280.0,137
45.0,21
58.0,22
250.0,103
145.0,66
218.0,85
68.0,29
449.0,192
182.0,78
245.0,101
1285.0,539
124.0,50
139.0,60
245.0,113
137.0,70
373.0,144
208.0,87
168.0,78
418.0,184
170.0,76
163.0,76
382.0,132
86.0,39
105.0,52
160.0,72
308.0,123
45.0,19
45.0,21
50.0,23
183.0,73
328.0,114
482.0,206
161.0,68
72.0,32
89.0,41
76.0,36
87.0,39
56.0,19
61.0,27
142.0,60
236.0,102
65.0,33
120.0,50
35.0,14
554.0,217
134.0,69
164.0,73
90.0,45
254.0,112
88.0,42
1214.0,406
71.0,33
103.0,50
238.0,79
356.0,123
184.0,70
323.0,123
109.0,43
2015.0,707
463.0,201
208.0,77
187.0,104
177.0,72
454.0,177
23.0,13
579.0,206
68.0,25
257.0,108
187.0,74
89.0,32
29.0,15
20.0,10
16.0,10
40.0,13
30.0,14
24.0,12
104.0,39
39.0,15
31.0,12
72.0,33
1962.667684,62
1962.667684,3120
1962.667684,108
1962.667684,55
1962.667684,4
1962.667684,4
1962.667684,27
1962.667684,7
1962.667684,9
1962.667684,124
1962.667684,20
1962.667684,154
1962.667684,9
1962.667684,7
1962.667684,727
1962.667684,23
1962.667684,145
411.0,151
360.0,133
452.0,156
223.0,93
487.0,178
2075.0,694
879.0,309
1758.0,570
643.0,227
273.0,102
1624.0,584
5164.0,1722
2768.0,914
2963.0,1039
847.0,314
847.0,317
3553.0,1272
1691.0,602
2353.0,876
731.0,210
1997.0,648
3980.0,1357
3887.0,1269
2795.0,884
4355.0,1607
2305.0,827
415.0,164
1673.0,549
822.0,281
2663.0,909
623.0,227
2820.0,1031
28.0,10
272.0,123
109.0,42
76.0,30
153.0,66
14.0,8
799.0,319
239.0,107
166.0,76
21.0,8
22.0,11
214.0,99
117.0,41
94.0,27
144.0,64
205.0,82
25.0,10
286.0,122
56.0,27
164.0,71
68.0,32
564.0,188
435.0,166
125.0,57
691.0,231
100.0,47
84.0,34
154.0,62
108.0,32
18.0,9
334.0,133
1775.0,637
282.0,105
5834.0,2059
1235.0,442
515.0,171
465.0,163
950.0,315
559.0,214
337.0,121
335.0,155
12.0,5
205.0,88
410.0,159
38.0,18
108.0,41
90.0,32
101.0,48
107.0,73
862.0,283
183.0,77
70.0,33
84.0,31
72.0,27
216.0,109
100.0,43
309.0,120
120.0,44
94.0,39
103.0,48
107.0,49
106.0,44
225.0,82
137.0,65
97.0,52
346.0,156
145.0,52
99.0,48
155.0,59
1142.0,407
189.0,91
44.0,17
57.0,22
493.0,204
115.0,58
378.0,157
137.0,81
110.0,69
235.0,104
171.0,92
97.0,43
518.0,191
460.0,160
40.0,17
72.0,30
224.0,127
178.0,84
312.0,136
121.0,49
176.0,106
171.0,71
272.0,103
405.0,165
64.0,58
46.0,19
250.0,60
995.0,378
117.0,43
320.0,130
55.0,16
51.0,25
120.0,39
709.0,270
190.0,51
139.0,65
391.0,165
108.0,41
773.0,321
985.0,393
22.0,9
249.0,88
67.0,24
489.0,229
51.0,21
948.0,406
576.0,235
162.0,63
181.0,64
406.0,169
1825.0,688
157.0,58
135.0,23
117.0,59
54.0,21
112.0,60
814.0,296
399.0,144
575.0,235
1859.0,771
30.0,14
571.0,240
194.0,70
41.0,19
230.0,86
11.0,4
362.0,149
489.0,189
505.0,165
273.0,91
8999.0,2939
187.0,79
211.0,94
286.0,125
88.0,40
204.0,101
136.0,70
523.0,229
211.0,76
2484.0,940
195.0,83
84.0,55
551.0,168
219.0,86
230.0,111
153.0,67
228.0,100
1352.0,435
275.0,110
186.0,93
72.0,41
260.0,105
883.0,372
1199.0,454
103.0,45
2809.0,965
12.0,5
78.0,42
492.0,189
138.0,54
512.0,217
855.0,316
33.0,16
75.0,31
4974.0,1809
186.0,72
343.0,141
144.0,82
222.0,89
108.0,70
436.0,160
84.0,39
652.0,325
348.0,137
88.0,37
975.0,379
236.0,120
6825.0,2231
128.0,54
134.0,62
49.0,22
165.0,60
59.0,30
145.0,64
1060.0,384
99.0,44
228.0,97
1160.0,439
953.0,382
293.0,134
209.0,102
54.0,29
421.0,157
323.0,131
385.0,168
1490.0,494
10411.0,3927
212.0,84
1962.667684,50
1962.667684,497
1962.667684,86
1962.667684,79
1962.667684,63
489.0,169
418.0,159
282.0,100
320.0,116
1662.0,569
6146.0,2183
255.0,97
274.0,105
354.0,134
388.0,141
338.0,128
45.0,17
404.0,134
554.0,196
11217.0,3824
154.0,59
345.0,133
428.0,150
4243.0,1507
326.0,115
8450.0,2549
8072.0,2584
1385.0,506
1470.0,542
2820.0,1011
657.0,228
1860.0,628
252.0,95
34.0,15
828.0,313
213.0,84
745.0,288
65.0,30
298.0,119
398.0,150
412.0,147
279.0,107
243.0,93
117.0,42
164.0,61
3590.0,1216
105.0,45
154.0,54
648.0,240
511.0,215
1007.0,387
145.0,61
588.0,206
540.0,183
107.0,33
214.0,93
298.0,112
82.0,33
230.0,98
689.0,255
144.0,58
823.0,293
265.0,113
554.0,253
622.0,237
822.0,315
401.0,163
333.0,136
203.0,80
370.0,138
280.0,114
453.0,196
93.0,39
225.0,85
24.0,13
783.0,273
257.0,106
3500.0,1126
132.0,57
83.0,33
207.0,69
611.0,258
404.0,173
431.0,193
219.0,89
134.0,49
17.0,6
76.0,31
32.0,12
43.0,19
22.0,12
14.0,5
403.0,137
622.0,198
28.0,13
26.0,12
11.0,4
17.0,7
20.0,10
24.0,11
26.0,10
10.0,5
277.0,99
18.0,8
22.0,11
19.0,8
13.0,4
27.0,10
11.0,4
36.0,13
22.0,8
19.0,9
70.0,22
55.0,17
160.0,56
42.0,17
23.0,13
9.0,3
43.0,22
26.0,10
67.0,27
35.0,16
14.0,6
90.0,28
61.0,26
31.0,11
9.0,4
15.0,6
126.0,43
10.0,4
130.0,53
19.0,7
53.0,19
266.0,99
1072.0,424
220.0,98
116.0,51
119.0,60
370.0,156
887.0,375
210.0,102
68.0,33
27.0,15
146.0,66
63.0,38
104.0,46
76.0,27
98.0,54
189.0,83
51.0,18
120.0,62
120.0,47
374.0,187
296.0,134
190.0,117
93.0,51
53.0,28
146.0,63
73.0,31
98.0,42
455.0,173
92.0,48
78.0,35
665.0,292
106.0,39
197.0,94
102.0,50
174.0,83
87.0,36
71.0,37
196.0,77
93.0,42
119.0,52
435.0,175
116.0,52
39.0,22
102.0,51
50.0,29
61.0,29
85.0,38
68.0,36
125.0,66
331.0,135
77.0,39
126.0,61
206.0,104
194.0,112
61.0,28
58.0,24
48.0,25
250.0,102
48.0,24
148.0,69
65.0,29
110.0,62
58.0,27
145.0,76
116.0,57
313.0,138
55.0,25
1908.0,739
317.0,140
103.0,54
113.0,59
590.0,218
60.0,30
57.0,29
583.0,258
68.0,31
134.0,56
81.0,36
255.0,116
113.0,51
756.0,303
406.0,174
50.0,22
117.0,56
6282.0,2236
279.0,105
1296.0,500
298.0,116
84.0,32
75.0,33
5182.0,1744
142.0,60
1038.0,342
3367.0,1260
135.0,51
696.0,273
606.0,207
111.0,40
2899.0,1078
161.0,60
325.0,121
12.0,5
141.0,57
9.0,3
46.0,17
18.0,6
35.0,12
463.0,173
39.0,14
98.0,31
29.0,10
36.0,16
43.0,16
238.0,93
53.0,21
53.0,19
46.0,15
82.0,29
24.0,12
193.0,79
64.0,16
25.0,10
42.0,16
30.0,11
46.0,15
13.0,5
6.0,3
812.0,300
179.0,63
46.0,16
41.0,15
61.0,23
13.0,5
19.0,9
203.0,75
53.0,24
47.0,21
140.0,59
45.0,19
27.0,11
33.0,14
54.0,16
44.0,14
45.0,19
50.0,19
68.0,29
81.0,36
40.0,19
109.0,40
13.0,4
36.0,15
236.0,94
2341.0,879
13.0,6
37.0,15
18.0,7
16.0,5
37.0,13
146.0,57
16.0,5
17.0,6
14.0,6
17.0,7
300.0,108
48.0,20
25.0,14
24.0,9
62.0,26
38.0,14
46.0,27
30.0,14
39.0,13
52.0,21
25.0,13
60.0,25
1163.0,422
200.0,78
192.0,69
48.0,18
30.0,9
22.0,9
39.0,18
32.0,14
85.0,34
21.0,9
15.0,7
50.0,23
41.0,16
159.0,60
34.0,16
66.0,29
58.0,29
11.0,4
84.0,31
611.0,213
111.0,47
195.0,78
2812.0,1119
74.0,38
99.0,48
273.0,110
183.0,84
227.0,85
116.0,55
246.0,101
285.0,138
178.0,78
143.0,60
428.0,183
82.0,40
373.0,156
1885.0,713
44.0,21
154.0,68
162.0,70
365.0,157
99.0,41
155.0,69
223.0,105
143.0,61
50.0,25
127.0,55
71.0,32
310.0,124
102.0,52
2294.0,871
36.0,22
141.0,63
224.0,99
82.0,34
183.0,85
344.0,132
304.0,137
148.0,74
135.0,55
468.0,193
187.0,80
168.0,76
411.0,172
71.0,35
276.0,119
592.0,241
36.0,13
126.0,48
189.0,91
137.0,66
52.0,22
38.0,14
108.0,56
362.0,159
206.0,77
379.0,159
343.0,128
970.0,365
134.0,63
81.0,40
549.0,210
4118.0,1757
106.0,48
88.0,39
1019.0,423
828.0,285
298.0,123
42.0,19
117.0,56
117.0,49
36.0,14
215.0,102
663.0,267
93.0,44
182.0,87
158.0,72
788.0,232
573.0,219
248.0,156
57.0,25
474.0,163
