pctprivatecoverage,povertypercent
75.1,11.2
70.2,18.6
63.7,14.6
58.4,17.1
61.6,12.5
60.0,15.6
49.5,23.2
55.8,17.8
55.5,22.3
69.9,13.1
67.2,12.7
64.4,15.7
64.4,12.6
73.3,9.9
65.2,16.3
58.3,19.3
74.5,11.9
64.7,13.9
65.7,15.7
68.7,15.7
78.3,28.4
54.6,20.5
55.6,21.5
70.0,13.2
60.2,22.1
56.1,22.2
68.3,15.1
63.3,21.9
52.4,21.8
48.7,25.1
55.2,17.4
53.4,21.4
61.3,28.9
65.1,17.0
61.9,21.1
50.5,21.2
69.5,12.9
65.8,15.3
64.0,13.9
66.9,16.7
73.3,10.2
66.0,16.8
56.4,20.0
51.7,24.4
56.1,20.2
39.7,34.9
67.6,17.9
70.3,15.2
59.6,20.6
56.4,20.5
58.6,16.1
51.6,28.1
76.5,22.5
60.5,19.3
63.7,13.0
61.6,19.6
70.9,18.4
59.8,16.7
71.6,16.5
60.0,17.6
63.5,17.6
73.6,10.0
60.6,17.7
59.6,20.8
57.4,17.7
51.6,23.1
60.2,25.8
63.7,16.8
68.0,17.1
62.3,15.8
59.7,19.7
54.6,20.0
45.1,26.1
63.5,18.5
61.6,20.3
63.0,17.2
54.6,22.8
63.9,17.8
62.7,14.9
68.4,13.7
65.9,13.6
72.5,12.0
73.4,10.5
64.2,16.5
84.1,5.9
73.4,10.7
56.6,16.0
78.2,8.8
67.4,14.7
82.5,13.4
77.7,9.9
75.8,11.0
66.5,13.9
72.4,13.9
74.8,14.4
68.9,12.8
77.1,9.9
59.8,17.0
74.8,15.0
78.2,8.7
83.4,8.2
64.9,16.0
75.6,12.1
76.1,9.2
74.0,10.7
39.9,34.0
70.5,12.3
82.4,7.4
82.7,13.6
69.1,12.7
77.4,10.6
63.0,13.2
62.9,15.6
70.7,10.3
73.0,10.8
56.5,14.0
76.4,9.8
69.4,10.7
69.1,11.0
64.1,15.1
61.1,13.7
58.1,19.0
53.1,16.8
59.9,18.5
68.5,8.4
65.4,15.4
67.6,13.7
61.3,19.3
69.6,10.0
70.0,10.7
75.0,11.8
61.8,14.9
72.3,11.6
76.7,8.7
76.3,9.5
82.7,6.1
74.8,11.8
69.6,10.4
66.9,15.1
75.5,7.6
81.4,7.2
68.3,13.0
72.1,13.0
59.4,19.5
59.9,16.7
78.0,8.2
56.5,17.7
87.5,4.7
73.1,11.8
74.6,8.3
78.8,8.2
84.0,5.0
70.9,11.9
55.8,18.2
69.1,13.1
82.2,5.0
80.9,6.2
65.9,11.1
76.9,8.3
58.5,18.7
62.3,22.2
49.6,23.4
40.4,28.8
57.1,20.5
56.9,19.2
53.4,20.6
49.6,27.9
62.3,14.1
57.0,19.1
60.6,25.8
42.7,24.5
55.6,16.6
54.5,20.1
89.6,4.2
37.5,30.6
25.0,35.8
27.8,24.2
53.2,20.2
54.8,23.9
48.8,24.1
54.7,24.0
63.8,12.6
50.4,21.0
46.4,25.5
60.1,14.2
50.8,23.8
50.5,31.0
47.3,19.2
42.0,27.6
48.2,19.4
52.6,24.5
77.7,13.5
67.8,18.3
43.1,31.5
69.2,17.2
67.3,16.2
71.0,12.7
66.5,19.3
68.8,18.2
66.0,16.7
59.8,20.5
69.4,14.6
76.5,10.2
81.1,7.9
65.7,14.8
83.5,7.5
75.6,8.8
71.0,13.7
52.5,26.6
86.9,3.9
67.4,11.5
58.5,22.4
65.3,12.3
80.6,10.6
61.7,21.1
77.6,14.4
82.4,24.8
69.1,13.4
83.8,6.2
56.8,21.5
76.1,14.3
59.2,24.3
69.9,10.7
63.5,16.9
57.4,21.9
66.2,14.6
83.7,7.1
69.6,25.5
80.5,10.5
78.0,7.2
69.3,14.7
68.1,9.3
70.6,19.7
79.6,8.2
69.3,13.0
72.9,11.7
56.7,17.9
62.7,20.8
68.9,12.0
59.2,19.7
66.8,15.3
78.3,9.2
84.1,5.9
65.2,12.9
66.2,23.9
59.0,19.2
75.2,11.3
67.4,14.5
64.7,15.0
59.7,21.9
63.9,15.6
87.2,5.5
76.4,9.6
57.3,21.8
59.9,17.2
76.1,25.9
77.9,9.8
