incidencerate,medincome
489.8,61898
411.6,48127
349.7,49348
430.4,44243
350.1,49955
505.4,52313
461.8,37782
404.0,40189
459.4,42579
510.9,60397
413.3,54721
499.3,51395
398.9,52673
493.4,71890
440.7,50083
423.8,43823
495.9,61653
463.2,51022
442.5,49819
490.9,53733
390.5,41837
411.0,44342
445.2,35615
463.1,56737
501.8,37625
396.6,33817
481.6,43572
483.4,34887
459.9,32162
591.0,32961
234.0,41838
457.0,36739
463.1,32705
356.3,41039
494.9,36996
475.1,35980
495.0,48178
374.9,41010
506.6,42121
475.8,41121
423.7,66950
508.7,43936
553.0,40568
513.2,34295
523.9,36437
457.1,24707
510.9,43729
456.3,43356
463.4,35799
493.8,35046
456.6,40012
507.0,29839
444.5,43835
434.6,36351
425.4,44446
455.5,36375
500.9,40195
381.8,38204
458.9,44801
384.8,34341
435.3,41420
497.2,59472
469.6,40270
405.2,37468
502.0,46383
449.2,33041
377.1,32456
400.9,40305
528.4,36466
468.3,41019
453.7,38387
433.2,37242
511.9,29331
514.6,40013
455.3,38600
488.8,41932
447.8,34419
467.9,42063
451.5,41294
412.1,46375
369.9,44395
479.1,54141
385.7,50998
399.2,41810
474.1,68430
482.4,52485
455.2,45316
476.1,59020
466.4,43562
430.7,61937
437.3,54359
449.3,49717
354.7,46475
396.1,52224
440.9,48102
308.2,44562
477.0,52149
490.6,41418
428.2,46972
420.0,53328
447.2,61802
356.1,40351
400.6,43883
221.5,55955
432.5,49517
453.6,41344
350.1,44726
431.4,69191
392.0,53290
495.5,40979
389.2,51335
453.5494221,46840
453.5494221,51241
453.5494221,60322
453.5494221,72648
453.5494221,47180
453.5494221,70535
453.5494221,67423
453.5494221,74347
453.5494221,45629
453.5494221,48576
453.5494221,40714
453.5494221,42881
453.5494221,52001
453.5494221,55291
453.5494221,52862
453.5494221,57243
453.5494221,45639
508.6,59831
481.8,57556
489.4,56008
459.2,42491
435.5,56353
482.2,71233
507.6,62429
518.8,79653
502.6,58577
475.7,57142
505.5,54208
468.1,84309
531.8,80479
530.9,61685
559.1,55409
511.3,45438
450.6,54603
544.2,78983
399.5,57720
496.3,103876
504.7,73750
466.7,77330
529.6,87220
488.5,100511
524.9,62937
448.4,58030
516.6,56645
471.0,100194
493.1,82048
463.0,68172
485.9,71294
404.1,47192
375.5,33256
375.8,38403
375.5,35081
377.4,37156
336.5,42620
467.1,33789
381.0,38974
391.3,57007
366.5,38221
361.2,29147
357.0,34304
357.1,58994
363.9,39995
406.2,108477
420.6,27268
332.9,29497
359.0,27627
393.0,41736
412.7,29069
351.8,34902
360.7,36108
395.4,56142
356.1,47520
355.6,32964
374.3,52628
424.2,29036
404.4,32285
339.0,36125
558.5,37311
303.0,36684
402.3,40591
505.9,60371
490.7,42655
455.3,33687
494.4,46283
517.8,43892
470.8,52792
550.1,41757
508.2,48880
512.4,46387
437.1,34842
327.0,38636
460.2,64350
423.0,75926
383.4,46331
491.5,76206
514.8,64305
446.8,45827
330.5,31429
364.9,122641
456.9,60121
404.1,37548
463.3,52513
444.9,58268
445.1,38500
525.6,48921
396.2,43484
526.7,48076
454.3,72406
527.2,36822
450.4,51422
508.0,37996
503.5,59282
430.1,44851
339.1,34885
399.0,44207
459.6,75539
410.4,37543
437.0,61792
373.7,91886
390.6,46186
401.1,62800
452.4,42204
400.5,61935
338.0,48497
400.2,55798
365.4,37378
330.8,36290
407.6,45430
389.1,37831
405.7,46521
449.4,75714
450.5,92647
426.5,48707
486.9,37748
376.4,38292
428.2,60714
420.8,43353
450.9,48232
367.3,38528
433.5,41132
389.3,81169
317.6,86419
265.7,34099
578.2,38331
718.9,45890
458.3,66625
493.6,52355
539.0,33646
447.7,125635
468.0,38583
566.3,51195
491.9,47615
591.1,38541
547.6,40122
495.0,40065
364.1,72510
457.2,48440
480.5,42567
461.0,31620
651.3,32749
441.3,84213
473.2,43045
463.1,34267
475.4,42074
512.4,40735
511.5,54195
537.9,42552
472.0,60735
435.6,67676
596.9,44843
1014.2,46954
401.9,44537
340.3,47423
371.3,44055
452.4,58750
451.5,49174
480.2,47185
427.4,61747
476.2,45465
455.5,44235
449.9,51151
358.2,39992
420.9,55006
293.6,46404
417.9,50388
518.4,43205
462.0,59358
480.9,50964
464.2,75738
414.6,38989
464.3,34655
345.3,60650
416.1,41101
393.1,43338
358.9,45174
413.5,57088
489.1,50191
514.3,41787
475.7,39721
324.9,33600
521.2,55592
447.1,43509
396.3,44780
373.8,39126
448.5,41678
514.9,45840
417.8,48681
406.2,37122
344.3,35961
446.7,42431
473.5,46670
464.2,46283
469.6,40709
473.3,53342
337.6,40411
395.3,30990
484.6,51510
372.9,60622
425.8,48194
433.5,74341
366.0,37590
422.5,39359
506.5,54865
494.9,37477
430.4,44735
350.2,42896
448.5,41572
310.1,42191
438.7,51629
417.3,40455
371.0,57719
475.3,41554
484.4,37961
499.0,42588
393.2,41588
495.7,69378
370.2,41166
402.9,35968
396.0,35387
541.3,40235
404.3,33975
457.0,44693
404.1,60577
414.7,39420
496.9,35002
475.4,44548
488.0,50303
404.4,43687
368.5,42081
439.1,39539
505.0,47882
459.0,43186
431.5,46715
463.9,62861
528.7,41434
528.4,39807
453.5494221,40676
453.5494221,70868
453.5494221,51116
453.5494221,43706
453.5494221,52531
532.7,51576
472.2,55047
522.0,48357
461.0,45860
486.7,70925
544.1,50134
463.7,50182
466.4,45704
504.2,45409
520.5,52410
505.7,52597
526.9,49137
480.7,44148
500.8,49781
452.3,47547
470.1,47542
462.2,49920
505.4,51600
498.9,51371
511.0,40923
514.3,98312
463.9,75459
507.2,49274
501.5,48350
525.9,52892
484.6,58473
503.5,69228
495.9,46577
459.8,36891
477.1,54026
458.4,38130
459.8,50055
464.6,38928
462.5,46073
524.4,35991
460.5,49676
483.7,37881
440.0,37884
416.2,38445
491.5,35930
451.0,59049
450.3,36795
447.6,38530
483.6,51650
452.5,43348
442.6,49905
452.7,32063
477.5,47201
436.7,60304
499.4,43097
473.4,44596
463.5,45453
400.0,41328
477.8,45841
457.6,41765
423.9,45464
502.3,41770
490.6,34665
409.6,30414
520.3,39606
508.1,44973
443.9,35629
454.3,33876
487.8,32782
495.6,41921
460.9,45065
481.1,37915
516.6,34788
396.8,44490
431.0,32773
429.7,64381
490.4,33609
451.4,66950
447.7,33869
453.6,32867
414.0,41942
458.6,36890
441.2,33398
452.4,39268
449.1,40801
512.6,35974
405.2,45710
479.1,52376
462.9,39342
430.4,56965
472.9,60946
448.3,62875
438.9,66734
462.5,53755
406.8,54057
320.2,51817
330.6,67344
355.6,72018
532.1,47596
352.4,44282
516.2,54593
403.0,53420
462.5,50435
385.4,39679
535.5,51192
481.5,50038
336.1,46923
370.5,53721
360.6,44696
429.1,48887
424.9,40258
254.7,81209
515.6,56616
482.0,74047
487.9,54637
485.1,66807
436.0,45040
338.6,62010
381.4,56298
357.4,39572
436.3,51097
447.0,56270
403.5,60957
456.9,57177
474.1,35630
579.7,58467
374.8,44990
481.1,33950
425.7,76672
341.9,59408
471.0,53333
527.4,51961
475.3,58995
475.0,54366
454.6,49626
445.2,41450
468.1,36409
430.8,36176
490.9,37873
401.0,57408
426.3,39779
456.2,32734
364.5,39493
380.4,36964
403.9,29541
401.9,38504
398.5,35049
433.2,33826
460.8,40555
462.3,43201
414.9,37495
443.9,42348
387.1,42851
439.8,43466
389.9,35455
433.4,38597
472.7,34018
453.8,36620
455.6,33028
455.8,36801
449.0,51436
396.3,40404
394.1,33347
464.4,40621
502.9,46067
414.1,42572
380.6,33136
422.1,37831
477.4,35940
434.6,37336
438.6,41085
420.0,32744
532.1,32427
502.1,35927
395.3,34923
364.1,32225
442.5,34916
382.4,28006
402.4,37644
460.7,40418
392.5,37691
424.7,36391
492.3,54459
393.4,39158
442.0,33181
423.4,40877
403.3,33577
515.3,30682
400.3,34597
407.9,30935
430.4,46931
397.4,35895
426.8,34971
484.6,40556
438.5,28171
401.8,36893
480.5,35851
396.4,33127
475.7,39909
449.5,39896
472.3,45698
443.3,43057
425.6,37761
375.9,30489
461.3,55915
410.0,33202
445.8,31765
429.4,39907
388.4,37014
493.4,32101
408.4,30010
494.4,40841
424.0,32975
430.3,45589
473.3,42044
492.6,29969
445.9,37080
413.4,76996
469.8,54610
489.2,42302
413.9,53321
400.2,48006
482.9,34679
456.3,80338
431.6,41419
458.6,70235
412.6,43338
443.4,43755
459.5,40581
387.9,38737
408.4,49267
419.5,47451
431.5,38221
430.2,53572
371.2,37911
460.7,36734
349.8,43132
378.7,41539
573.8,36903
538.8,36449
420.1,44716
587.0,39827
459.2,42942
456.8,41595
424.8,39292
462.0,40072
404.2,42902
435.5,65738
509.5,37511
490.7,50751
439.6,32815
403.1,52711
445.5,39882
519.3,60812
473.1,45000
447.8,46208
475.5,45207
424.0,46328
382.0,35875
373.3,43859
475.8,51653
485.3,48658
472.7,50919
520.4,52914
434.4,55465
384.9,39964
358.2,42348
443.6,51550
485.1,49345
399.5,54240
478.0,66522
334.6,54421
462.8,52749
395.1,43564
439.5,55964
506.7,55758
394.5,50758
370.9,56047
429.8,45644
396.0,50289
370.0,40667
409.0,47366
402.3,44109
447.2,52601
487.5,50043
476.6,52842
406.9,45624
423.8,54556
339.4,44794
443.6,48543
482.7,44461
463.1,50861
419.3,38645
482.9,40436
445.3,55319
404.4,43858
469.4,48499
411.9,62191
445.6,46744
501.5,40496
407.3,46667
450.8,51040
379.5,44947
425.6,48511
440.9,56791
411.5,45192
401.5,45771
461.2,42745
425.9,52011
456.8,49770
473.4,51836
448.8,50893
444.6,46961
395.7,48535
398.7,49162
431.1,43249
410.1,51527
425.0,42977
327.2,56080
409.2,54137
426.4,53489
424.5,61768
417.6,58162
428.4,43842
444.0,44282
502.1,46051
529.0,51805
463.5,74008
428.6,61961
419.7,47194
472.2,48195
431.5,37417
422.5,38595
497.9,45914
408.0,43425
471.4,56573
496.6,30299
465.4,43851
460.4,37498
469.4,41326
496.0,35704
469.7,36740
460.3,28086
489.4,37410
470.9,48380
483.5,27323
480.3,35321
456.8,36285
500.6,39506
457.4,35470
467.1,39303
479.3,37151
509.6,37443
457.0,39753
527.3,42837
449.1,35379
484.0,41235
414.7,31330
484.4,47199
413.7,28524
484.4,33595
438.8,34614
538.7,36255
421.9,41802
467.4,53945
447.5,39528
433.7,34882
531.4,36886
434.0,43113
521.2,40766
490.5,42839
450.4,51303
461.4,34801
482.9,37392
446.6,50935
408.9,50358
488.7,36390
455.6,40683
470.1,35884
492.4,33776
483.4,31996
480.2,36643
442.4,37693
532.5,37952
492.7,43269
496.6,52640
450.4,53799
535.4,31397
465.4,44111
493.9,39905
461.5,44015
486.5,43659
514.7,41590
472.8,38840
470.6,58291
484.6,52339
462.6,40251
444.8,37632
526.2,37453
468.4,34884
453.3,36942
451.1,43212
434.8,33573
443.1,36205
459.9,35400
443.4,97936
463.3,60955
394.3,42471
401.3,66878
499.2,42128
433.4,44551
289.2,58867
435.7,55177
387.6,52785
398.2,58792
334.4,36821
388.9,50107
415.6,52886
458.2,36027
341.0,40680
475.2,51048
399.2,50699
372.8,57177
393.2,44397
427.6,41883
429.3,73788
424.7,41641
387.7,40179
408.0,27875
427.7,41316
508.0,33134
490.9,51138
492.8,39812
490.4,45979
467.6,36350
509.4,59300
504.4,34116
473.5,35385
480.4,31835
503.8,40642
487.1,46831
512.7,25402
570.8,41651
459.2,32615
479.6,32318
482.7,40668
515.4,45226
586.2,47377
518.6,37130
473.9,47024
499.6,37968
487.3,51340
467.5,47382
464.8,44139
436.3,32889
494.6,58818
379.0,26732
457.3,30636
447.2,34522
466.0,35468
480.9,40877
458.7,51304
507.4,44469
484.9,40406
431.7,33322
456.4,36666
500.4,39561
516.9,45615
470.8,60751
461.5,35004
497.4,47477
460.8,47225
530.4,32683
499.7,46713
474.0,42075
494.5,63441
489.9,39927
389.0,27522
493.1,49044
463.9,38998
529.1,45331
478.1,46682
536.6,29749
485.3,36003
526.7,51550
443.2,33959
429.0,53679
524.4,36644
478.2,46701
472.8,36066
479.6,61436
435.2,41035
491.9,45807
478.4,45556
484.9,50002
436.6,47905
477.6,40120
507.3,42728
478.1,36994
451.7,55630
458.3,39001
484.0,46598
501.5,38057
497.7,55482
519.3,39808
468.1,86654
472.3,67766
444.5,92446
465.1,49573
456.2,84500
484.3,62198
420.5,86703
481.6,42279
435.9,83698
417.1,47441
485.5,79403
418.1,106871
461.7,53288
392.9,97279
401.9,71904
429.6,80650
423.2,84686
511.9,38376
454.6,54836
457.0,54606
532.1,51927
499.8,55691
497.2,41895
505.0,64150
464.3,49890
430.5,53244
424.8,55139
332.2,37935
424.5,44110
434.9,52548
403.5,43379
480.2,39377
345.6,29782
368.3,62752
383.0,55493
389.3,59904
417.0,42753
412.1,60738
428.0,41872
340.9,33291
321.0,26336
421.4,50818
377.6,56313
376.1,51735
433.1,47340
428.8,70797
448.1,61976
339.0,49709
399.0,45666
404.1,43344
418.0,43615
392.3,55204
398.9,48456
361.5,52623
380.5,82597
347.2,56772
417.3,62536
261.1,40590
383.8,44644
417.4,48622
432.7,92560
489.9,64193
365.5,65489
394.9,60957
432.5,65207
408.4,50169
366.9,42366
417.9,59293
436.9,59089
488.0,44674
476.2,45029
463.7,61908
492.7,35570
450.4,59184
548.5,60081
461.6,49142
479.7,53025
438.8,42089
476.0,44888
467.3,58673
463.3,49616
461.9,51513
479.4,38390
372.9,67083
401.8,45454
522.5,51738
427.4,43998
432.6,44397
369.7,107143
408.9,57808
419.3,43852
472.2,42624
401.6,63646
463.4,37344
325.8,32083
390.1,38731
384.7,46663
503.8,56099
390.6,38474
492.6,49768
434.4,36339
497.0,72972
417.9,70281
389.7,46551
421.6,62394
436.4,41409
356.4,32103
414.5,52288
433.5,48277
381.8,110507
369.4,89106
372.4,43355
435.3,64258
422.8,47419
456.6,65485
403.8,45979
491.8,58900
486.9,86610
355.3,31893
404.0,61762
492.2,36459
412.7,39079
496.6,81940
444.7,62446
409.3,44490
460.1,36333
365.7,49995
405.5,55686
420.3,43171
475.0,94549
396.8,47781
452.2,42840
415.9,43818
408.6,39172
320.8,59181
477.5,34971
391.8,34445
413.6,57428
488.9,71063
423.9,57118
418.6,76061
460.5,75689
420.3,47964
414.5,56877
452.0,55803
433.0,68166
423.1,51951
426.3,39922
434.9,66034
428.9,83788
432.1,51527
443.7,61775
447.0,100806
433.0,62116
420.0,97219
450.4,64257
478.8,43661
312.8,47293
459.6,41940
430.4,38641
472.3,67106
463.4,66949
433.4,50917
395.8,51827
473.2,40782
455.5,34961
391.5,42360
490.8,49476
432.7,74967
503.7,26602
428.2,54509
444.6,41403
420.8,59316
416.8,38140
429.5,65359
389.4,44508
369.7,36294
322.4,35424
409.9,71546
417.3,85885
399.4,36241
